"";"GTY_Code";"Flag_CTY_Code";"TFN";"GAR_Code";"Calendar_Year";"AFE_ID";"Month";"Target_TXN_Code";"FAC_Code";"VSZ_Code";"Fishing_Hours";"Fishing_Days";"Vessel_Count";"Haul_Count";"Hook_Count";"Pot_Count";"CC_Season";"Split_Year";"Location";"GTY_rev"
"2634";"OT";"CHL";2;"483";1997;2441;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1998;1998;"B";"OTB"
"2635";"OT";"CHL";2;"483";1998;2442;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1998;1998;"B";"OTB"
"2636";"OT";"DDR";1;"481";1979;195;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2637";"OT";"DDR";1;"482";1979;196;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2638";"OT";"DDR";1;"483";1979;197;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2676";"OT";"RUS";1;"5851";1991;1594;12;"MZZ";"S";8;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2689";"OT";"SUN";1;"48";1986;1418;NA;"MZZ";"U";NA;NA;NA;NA;NA;NA;NA;1986;1986;"B";"OTB"
"2690";"OT";"SUN";1;"481";1979;662;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2693";"OT";"SUN";1;"481";1986;921;11;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1986;1987;"B";"OTB"
"2696";"OT";"SUN";1;"482";1979;663;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2701";"OT";"SUN";1;"482";1985;808;2;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1985;1985;"B";"OTB"
"2702";"OT";"SUN";1;"482";1985;807;1;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1985;1985;"B";"OTB"
"2703";"OT";"SUN";1;"482";1985;809;3;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1985;1985;"B";"OTB"
"2704";"OT";"SUN";1;"483";1971;627;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"2705";"OT";"SUN";1;"483";1972;629;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"2706";"OT";"SUN";1;"483";1973;631;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1973;1973;"B";"OTB"
"2707";"OT";"SUN";1;"483";1974;634;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1974;1974;"B";"OTB"
"2708";"OT";"SUN";1;"483";1975;637;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"2709";"OT";"SUN";1;"483";1976;640;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"2710";"OT";"SUN";1;"483";1977;643;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"2711";"OT";"SUN";1;"483";1979;665;2;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2713";"OT";"SUN";1;"483";1979;664;1;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2715";"OT";"SUN";1;"483";1979;666;3;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2716";"OT";"SUN";1;"483";1979;667;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2719";"OT";"SUN";1;"483";1981;685;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1981;1981;"B";"OTB"
"2720";"OT";"SUN";1;"483";1982;692;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1982;1982;"B";"OTB"
"2721";"OT";"SUN";1;"483";1982;713;11;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1982;1983;"B";"OTB"
"2722";"OT";"SUN";1;"483";1983;716;4;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1983;1983;"B";"OTB"
"2723";"OT";"SUN";1;"483";1983;718;6;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1983;1983;"B";"OTB"
"2724";"OT";"SUN";1;"483";1983;717;5;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1983;1983;"B";"OTB"
"2725";"OT";"SUN";1;"483";1983;714;2;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1983;1983;"B";"OTB"
"2726";"OT";"SUN";1;"483";1983;715;3;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1983;1983;"B";"OTB"
"2727";"OT";"SUN";1;"483";1986;932;12;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1987;1987;"B";"OTB"
"2728";"OT";"SUN";1;"483";1986;931;11;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1986;1987;"B";"OTB"
"2729";"OT";"SUN";1;"483";1986;930;10;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1986;1987;"B";"OTB"
"2730";"OT";"SUN";1;"58";1971;628;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"2731";"OT";"SUN";1;"58";1972;630;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"2732";"OT";"SUN";1;"58";1973;632;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1973;1973;"B";"OTB"
"2733";"OT";"SUN";1;"58";1974;635;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1974;1974;"B";"OTB"
"2734";"OT";"SUN";1;"58";1975;638;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1975;1975;"B";"OTB"
"2735";"OT";"SUN";1;"58";1976;641;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1976;1976;"B";"OTB"
"2736";"OT";"SUN";1;"58";1977;644;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1977;1977;"B";"OTB"
"2737";"OT";"SUN";1;"58";1978;649;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"2738";"OT";"SUN";1;"58";1978;672;12;"MZZ";"C";7;NA;NA;NA;NA;NA;NA;1979;1979;"B";"OTB"
"2739";"OT";"SUN";1;"58";1978;668;7;"MZZ";"C";7;NA;NA;NA;NA;NA;NA;1978;1979;"B";"OTB"
"2740";"OT";"SUN";1;"58";1978;671;10;"MZZ";"C";7;NA;NA;NA;NA;NA;NA;1978;1979;"B";"OTB"
"2741";"OT";"SUN";1;"58";1978;670;9;"MZZ";"C";7;NA;NA;NA;NA;NA;NA;1978;1979;"B";"OTB"
"2742";"OT";"SUN";1;"58";1978;669;8;"MZZ";"C";7;NA;NA;NA;NA;NA;NA;1978;1979;"B";"OTB"
"2749";"OT";"SUN";1;"584";1987;994;3;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1987;1987;"B";"OTB"
"2750";"OT";"SUN";1;"584";1987;992;1;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1987;1987;"B";"OTB"
"2751";"OT";"SUN";1;"584";1987;993;2;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1987;1987;"B";"OTB"
"2752";"OT";"SUN";1;"5842";1988;1086;3;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1988;1988;"B";"OTB"
"2753";"OT";"SUN";1;"5842";1988;1085;2;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1988;1988;"B";"OTB"
"2754";"OT";"SUN";1;"5842";1988;1087;4;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1988;1988;"B";"OTB"
"2755";"OT";"SUN";1;"585";1980;682;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1980;1980;"B";"OTB"
"2756";"OT";"SUN";1;"585";1981;688;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1981;1981;"B";"OTB"
"2757";"OT";"SUN";1;"585";1982;694;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1982;1982;"B";"OTB"
"2758";"OT";"SUN";1;"5851";1989;1219;12;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2759";"OT";"SUN";1;"5851";1989;1218;11;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1989;1990;"B";"OTB"
"2760";"OT";"SUN";1;"5851";1990;1220;1;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2761";"OT";"SUN";1;"5851";1990;1222;3;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2762";"OT";"SUN";1;"5851";1990;1221;2;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2763";"OT";"SUN";1;"5851";1990;1223;4;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2764";"OT";"SUN";1;"5851";1991;1591;9;"MZZ";"S";8;NA;NA;NA;NA;NA;NA;1991;1992;"B";"OTB"
"2765";"OT";"SUN";1;"5851";1991;1592;10;"MZZ";"S";8;NA;NA;NA;NA;NA;NA;1991;1992;"B";"OTB"
"2766";"OT";"SUN";1;"5851";1991;1593;11;"MZZ";"S";8;NA;NA;NA;NA;NA;NA;1991;1992;"B";"OTB"
"2768";"OT";"SUN";2;"482";1978;647;NA;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"2769";"OT";"SUN";2;"483";1978;648;NA;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"2770";"OT";"SUN";2;"483";1987;1279;12;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1988;1988;"B";"OTB"
"2771";"OT";"SUN";2;"483";1987;1276;9;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1987;1988;"B";"OTB"
"2772";"OT";"SUN";2;"483";1987;1278;11;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1987;1988;"B";"OTB"
"2773";"OT";"SUN";2;"483";1987;1277;10;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1987;1988;"B";"OTB"
"2774";"OT";"SUN";2;"483";1987;1275;8;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1987;1988;"B";"OTB"
"2775";"OT";"SUN";2;"483";1987;1030;7;"ANI";"S";NA;NA;NA;NA;NA;NA;NA;1987;1988;"B";"OTB"
"2789";"OT";"SUN";7;"481";1980;678;NA;"KRI";"C";NA;NA;NA;NA;NA;NA;NA;1980;1980;"B";"OTB"
"2796";"OT";"SUN";7;"483";1980;680;NA;"KRI";"C";NA;NA;NA;NA;NA;NA;NA;1980;1980;"B";"OTB"
"2833";"OTB";"AUS";2;"5852";1990;3324;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2834";"OTB";"AUS";2;"5852";1990;3325;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1990;1990;"B";"OTB"
"2835";"OTB";"AUS";2;"5852";1992;3326;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2836";"OTB";"AUS";2;"5852";1992;3327;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1992;1992;"B";"OTB"
"2837";"OTB";"AUS";2;"5852";1993;1694;10;"ANI";"S";11;NA;NA;1;NA;NA;NA;1993;1994;"B";"OTB"
"2839";"OTB";"AUS";2;"5852";1993;1692;8;"ANI";"S";11;NA;NA;1;NA;NA;NA;1993;1994;"B";"OTB"
