taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
ADK,Artedidraco skottsbergi,Plunderfish,Fish,Other
AEM,Aethotaxis mitopteryx,Longfin icedevil,Fish,Nototheniidae
AJH,Anthozoa,Anthozoa,Benthos,Benthos
AJZ,Alcyonacea,Soft corals,Benthos,Benthos
AKN,Akarotaxis nudiceps,,Fish,Bathydraconidae
AKW,Aphrodita aculeata,Sea mouse,Benthos,Benthos
ALH,Alepocephalus spp,Slickheads nei,Fish,Other
ALI,Alepisaurus spp,Lancetfishes nei,Fish,Other
ALZ,Diomedeidae,Albatrosses nei,Bird,Flying Bird
ANA,Engraulis anchoita,Argentine anchovy,Fish,Mesopelagic
AND,Tylosurus acus,Agujon needlefish,Fish,Other
ANI,Champsocephalus gunnari,Mackerel icefish,Fish,Channichthyidae
ANP,Anotopterus pharao,Daggertooth,Fish,NA
ANS,Pleuragramma antarctica,Antarctic silverfish,Fish,Nototheniidae
ANT,Antimora rostrata,Blue antimora,Fish,Other
APL,Plantae aquaticae,Aquatic plants nei,Benthos,Benthos
AQM,Amphipoda,Amphipods,Zooplankton,Zooplankton
AQZ,Antipatharia,Black corals and thorny corals,Benthos,Benthos
ART,Artedidraco spp,,Fish,Other
ATX,Actiniaria,Sea anemones,Benthos,Benthos
AXT,Stylasteridae,Hydrocorals,Benthos,Benthos
AZN,Anthoathecata,"Hydroids, hydromedusae",Zooplankton,Zooplankton
AZT,Artedidraco mirus,Plunderfish,Fish,Other
BAA,Bathylagus antarcticus,Deepsea smelt,Fish,Other
BAE,Balaenopteridae,Balaenoptid whales nei,Marine Mammal,Baleen
BAM,Bathyraja maccaini,McCain's skate,Chondrichthyes,Skate
BAT,Platax spp,Batfishes,Fish,Other
BAW,Berardius arnuxii,Arnoux's beaked whale,Marine Mammal,Toothed whale
BBB,Labeobarbus bynni,,Fish,Other
BCW,Ziphius cavirostris,Cuvier's beaked whale,Marine Mammal,Toothed whale
BDH,Bathydraco macrolepis,,Fish,Bathydraconidae
BDJ,Bathydraco marri,Deep-water dragon,Fish,Bathydraconidae
BDN,Bathydraco antarcticus,,Fish,Bathydraconidae
BE1,Benthos,,Benthos,Benthos
BEA,Bathyraja eatonii,Eaton's skate,Chondrichthyes,Skate
BEE,Benthalbella elongata,Pearleyes,Fish,Other
BEL,Delphinapterus leucas,White whale,Marine Mammal,Baleen
BHY,Bathyraja spp,Bathyraja rays nei,Chondrichthyes,Skate
BI1,Aves,Birds,Bird,NA
BIV,Smilium zancleanum,Acorn barnacle,Benthos,NA
BLP,Eleginops maclovinus,Patagonian blennie,Fish,Other
BLT,Auxis rochei,Bullet tuna,Fish,NA
BLU,Pomatomus saltatrix,Bluefish,Fish,Other
BLW,Balaenoptera musculus,Blue whale,Marine Mammal,Baleen
BMU,Bathyraja murrayi,Murray's skate,Chondrichthyes,Skate
BNZ,Benthalbella macropinna,,Fish,Other
BQY,Bathydraconidae,Dragonfishes nei,Fish,NA
BRA,Brama spp,Brama,Fish,Other
BRC,Brachioteuthis spp,Arm squids nei,Cephalopod,Cephalopod
BRF,Helicolenus dactylopterus,Blackbelly rosefish,Fish,Other
BRT,Borostomias antarcticus,Snaggletooth,Fish,Other
BRX,Berycidae,"Alfonsinos, etc. nei",Fish,Other
BSZ,Acanthistius brasilianus,Argentine seabass,Fish,Other
BTH,Alopias superciliosus,Bigeye thresher,Chondrycthies,Shark
BTY,Bathylagus spp,Blacksmelts,Fish,Other
BVH,Brachiopoda,"Brachiopods, lamp shells",Benthos,Benthos
BVK,Pogonophryne barsukovi,,Fish,Other
BWY,Bathylasmatidae,Barnacle,Benthos,Benthos
BYE,Bathyraja meridionalis,Dark-belly skate,Chondrichthyes,Skate
BYR,Bathyraja irrasa,Kerguelen sandpaper skate,Chondrichthyes,Skate
BZN,Bryozoa,Bryozoans,Benthos,Benthos
CAH,Callorhinchidae,"Elephantfishes, etc. nei",Fish,Other
CAM,Stercorarius maccormicki,South polar skua,Bird,Flying Bird
CAQ,Stercorarius antarcticus,Brown skua,Bird,Flying Bird
CDI,Calonectris diomedea,Cory's shearwater,Bird,Flying Bird
CDN,Chauliodus sloani,Sloane's viperfish,Fish,NA
CEH,Coelorinchus marinii,Marini's grenadier,Fish,Macrouridae
CEN,Centrolophidae,"Ruffs, barrelfishes nei",Fish,Other
CEO,Centrolophus niger,Rudderfish,Fish,Other
CEP,Cephalopoda,Cephalopods nei,Cephalopod,Cephalopod
CEQ,Ceratias tentaculatus,Sea devil anglerfish,Fish,Other
CES,Champsocephalus esox,Pike icefish,Fish,Channichthyidae
CEX,Genypterus spp,Cusk-eels nei,Fish,Other
CGE,Chaceon maritae,West African geryon,Crustacea,Crab
CHM,Callorhinchus capensis,Cape elephantfish,Fish,Other
CHP,Sardinops sagax,South American pilchard,Fish,Mesopelagic
CHW,Chionobathyscus dewitti,Icefish spp.,Fish,Channichthyidae
