Year,Sector,Area,By-Catch,IUU
2005,Atlantic,48.2,1,0
2006,Atlantic,48.2,0,0
2007,Atlantic,48.2,0,0
2008,Atlantic,48.2,0,0
2009,Atlantic,48.2,10,0
2010,Atlantic,48.2,0,0
2011,Atlantic,48.2,0,0
2012,Atlantic,48.2,0,0
2013,Atlantic,48.2,0,0
2014,Atlantic,48.2,0,0
2015,Atlantic,48.2,0,0
2016,Atlantic,48.2,0,0
2017,Atlantic,48.2,2,0
1991,Atlantic,48.3,3000,0
1992,Atlantic,48.3,0,0
1993,Atlantic,48.3,0,0
1994,Atlantic,48.3,268,0
1995,Atlantic,48.3,1198,0
1996,Atlantic,48.3,724,0
1997,Atlantic,48.3,5755,0
1998,Atlantic,48.3,640,276
1999,Atlantic,48.3,210,1104
2000,Atlantic,48.3,21,1645
2001,Atlantic,48.3,122,412
2002,Atlantic,48.3,95,5
2003,Atlantic,48.3,44,0
2004,Atlantic,48.3,114,0
2005,Atlantic,48.3,24,0
2006,Atlantic,48.3,33,45
2007,Atlantic,48.3,6,0
2008,Atlantic,48.3,5,0
2009,Atlantic,48.3,19,0
2010,Atlantic,48.3,9,0
2011,Atlantic,48.3,0,0
2012,Atlantic,48.3,6,0
2013,Atlantic,48.3,3,0
2014,Atlantic,48.3,123,0
2015,Atlantic,48.3,3,0
2016,Atlantic,48.3,98,0
2017,Atlantic,48.3,40,0
2017,Atlantic,48.4,3,0
2003,Central Indian,58.4.2,0,145
2004,Central Indian,58.4.2,0,510
2005,Central Indian,58.4.2,0,209
2006,Central Indian,58.4.2,0,322
2007,Central Indian,58.4.2,0,621
2005,Central Indian,58.4.3,8,1495
2006,Central Indian,58.4.3,2,3442
2007,Central Indian,58.4.3,0,3637
1997,Central Indian,58.4.4,0,242
1998,Central Indian,58.4.4,0,984
1999,Central Indian,58.4.4,0,1547
2000,Central Indian,58.4.4,0,0
2001,Central Indian,58.4.4,0,0
2002,Central Indian,58.4.4,0,0
2003,Central Indian,58.4.4,0,724
2004,Central Indian,58.4.4,0,0
2005,Central Indian,58.4.4,0,1244
2006,Central Indian,58.4.4,0,0
2007,Central Indian,58.4.4,0,2509
1996,Central Indian,58.5.1,0,3515
1997,Central Indian,58.5.1,0,6555
1998,Central Indian,58.5.1,0,9043
1999,Central Indian,58.5.1,0,2100
2000,Central Indian,58.5.1,0,4414
2001,Central Indian,58.5.1,1917,7724
2002,Central Indian,58.5.1,10814,10695
2003,Central Indian,58.5.1,13926,13284
2004,Central Indian,58.5.1,3666,1092
2005,Central Indian,58.5.1,4387,542
2006,Central Indian,58.5.1,2352,554
2007,Central Indian,58.5.1,1944,1445
2008,Central Indian,58.5.1,1224,0
2009,Central Indian,58.5.1,643,0
2010,Central Indian,58.5.1,230,0
2011,Central Indian,58.5.1,193,0
2012,Central Indian,58.5.1,190,0
2013,Central Indian,58.5.1,102,0
2014,Central Indian,58.5.1,24,0
2015,Central Indian,58.5.1,49,0
2016,Central Indian,58.5.1,64,0
2017,Central Indian,58.5.1,56,0
1996,Central Indian,58.5.2,0,12661
1997,Central Indian,58.5.2,0,7655
1998,Central Indian,58.5.2,0,5245
1999,Central Indian,58.5.2,0,725
2000,Central Indian,58.5.2,0,1959
2001,Central Indian,58.5.2,0,3402
2002,Central Indian,58.5.2,0,5923
2003,Central Indian,58.5.2,6,1300
2004,Central Indian,58.5.2,0,727
2005,Central Indian,58.5.2,8,248
2006,Central Indian,58.5.2,0,130
2007,Central Indian,58.5.2,2,0
2008,Central Indian,58.5.2,2,0
2009,Central Indian,58.5.2,4,0
2010,Central Indian,58.5.2,7,0
2011,Central Indian,58.5.2,0,0
2012,Central Indian,58.5.2,0,0
2013,Central Indian,58.5.2,0,0
2014,Central Indian,58.5.2,2,0
2015,Central Indian,58.5.2,2,0
2016,Central Indian,58.5.2,4,0
2017,Central Indian,58.5.2,4,0
1996,Central Indian,58.6,0,4188
1997,Central Indian,58.6,0,15095
1998,Central Indian,58.6,0,3087
1999,Central Indian,58.6,0,11734
2000,Central Indian,58.6,0,6856
2001,Central Indian,58.6,0,6924
2002,Central Indian,58.6,1243,3298
2003,Central Indian,58.6,720,1622
2004,Central Indian,58.6,343,1966
2005,Central Indian,58.6,242,48
2006,Central Indian,58.6,235,124
2007,Central Indian,58.6,313,0
2008,Central Indian,58.6,131,0
2009,Central Indian,58.6,94,0
2010,Central Indian,58.6,102,0
2011,Central Indian,58.6,27,0
2012,Central Indian,58.6,68,0
2013,Central Indian,58.6,55,0
2014,Central Indian,58.6,24,0
2015,Central Indian,58.6,41,0
2016,Central Indian,58.6,20,0
2017,Central Indian,58.6,16,0
1996,Central Indian,58.7,0,2436
1997,Central Indian,58.7,834,7069
1998,Central Indian,58.7,528,1256
1999,Central Indian,58.7,156,1708
2000,Central Indian,58.7,516,552
2001,Central Indian,58.7,199,723
2002,Central Indian,58.7,0,370
2003,Central Indian,58.7,7,655
2004,Central Indian,58.7,39,450
2005,Central Indian,58.7,76,466
2006,Central Indian,58.7,0,0
2007,Central Indian,58.7,0,0
2008,Central Indian,58.7,0,0
2009,Central Indian,58.7,0,0
2010,Central Indian,58.7,0,0
2011,Central Indian,58.7,0,0
2012,Central Indian,58.7,0,0
2013,Central Indian,58.7,3,0
2014,Central Indian,58.7,0,0
2015,Central Indian,58.7,0,0
2016,Central Indian,58.7,6,0
1998,West Pacific,88.1,0,0
1999,West Pacific,88.1,0,0
2000,West Pacific,88.1,0,0
2001,West Pacific,88.1,0,0
2002,West Pacific,88.1,0,39
2003,West Pacific,88.1,0,0
2004,West Pacific,88.1,1,440
2005,West Pacific,88.1,0,119
2006,West Pacific,88.1,0,11
2007,West Pacific,88.1,0,0
2008,West Pacific,88.1,0,0
2009,West Pacific,88.1,0,0
2010,West Pacific,88.1,0,0
2011,West Pacific,88.1,0,0
2012,West Pacific,88.1,0,0
2013,West Pacific,88.1,0,0
2014,West Pacific,88.1,2,0
2015,West Pacific,88.1,0,0
2016,West Pacific,88.1,0,0
